"Fastly CDN","Fastly CDN"
"Fastly Configuration","Fastly Konfiguration"
"Fastly Service ID","Fastly Service ID"
"Your Service ID appears as an alphanumeric string immediately below the name of your service on the fastly configure tab.","Your Service ID appears as an alphanumeric string immediately below the name of your service on the fastly configure tab."
"Fastly API key","Fastly API key"
"Your API Key is located on the account tab to the left of the Account Settings area.","Your API Key is located on the account tab to the left of the Account Settings area."
"Stale content delivery time","Stale content delivery time"
"Time in seconds for that stale content will be served. Set to 0 to disable this feature.","Time in seconds for that stale content will be served. Set to 0 to disable this feature."
"Stale content delivery time in case of backend error","Stale content delivery time in case of backend error"
"Purge category","Purge category"
"Purge category's cache items on save","Purge category's cache items on save"
"Purge product","Purge product"
"Purge product's cache items on save","Purge product's cache items on save"
"Purge CMS page","Purge CMS page"
"Purge CMS page's cache item on save","Purge CMS page's cache item on save"
"Use Soft Purge","Use Soft Purge"
"Use Soft Purge in conjunction with stale content delivery times, to serve stale content.","Use Soft Purge in conjunction with stale content delivery times, to serve stale content."
"Export VCL for Fastly","Exportiere VCL für Fastly"
